"Coteaux du Cher et de l'Arnon";"2013";"5";"IGP"
"Cotes de la Charité";"2013";"5";"IGP"
"Haute-Vienne";"2013";"5";"IGP"
"Puy-de-Dome";"2013";"5";"IGP"
"Urfe";"2013";"5";"IGP"
"Val de Loire";"2010";"40";"IGP"
"Val de Loire";"2011";"30";"IGP"
"Val de Loire";"2012";"20";"IGP"
"Val de Loire";"2013";"20";"IGP"
"Bandol";"2010";"40";"AOC-AOP"
"Bandol";"2011";"40";"AOC-AOP"
"Bandol";"2012";"20";"AOC-AOP"
"Bandol";"2013";"20";"AOC-AOP"
"Bellet";"2010";"40";"AOC-AOP"
"Bellet";"2011";"30";"AOC-AOP"
"Bellet";"2012";"20";"AOC-AOP"
"Bellet";"2013";"30";"AOC-AOP"
"Muscat du Cap Corse";"2010";"50";"AOC-AOP"
"Muscat du Cap Corse";"2011";"30";"AOC-AOP"
"Muscat du Cap Corse";"2012";"20";"AOC-AOP"
"Muscat du Cap Corse";"2013";"30";"AOC-AOP"
"Patrimonio";"2010";"30";"AOC-AOP"
"Patrimonio";"2011";"30";"AOC-AOP"
"Patrimonio";"2012";"20";"AOC-AOP"
"Patrimonio";"2013";"20";"AOC-AOP"
"Pierrevert";"2013";"5";"AOC-AOP"
"Vin de Corse";"2010";"30";"AOC-AOP"
"Vin de Corse";"2011";"30";"AOC-AOP"
"Vin de Corse";"2012";"20";"AOC-AOP"
"Vin de Corse";"2013";"20";"AOC-AOP"
"Cotes de Bergerac";"2013";"5";"AOC-AOP"
"Gaillac";"2010";"20";"AOC-AOP"
"Gaillac";"2011";"40";"AOC-AOP"
"Gaillac";"2012";"20";"AOC-AOP"
"Gaillac";"2013";"30";"AOC-AOP"
"Jurançon";"2010";"20";"AOC-AOP"
"Jurançon";"2011";"70";"AOC-AOP"
"Jurançon";"2012";"20";"AOC-AOP"
"Jurançon";"2013";"40";"AOC-AOP"
"Madiran";"2010";"20";"AOC-AOP"
"Madiran";"2011";"40";"AOC-AOP"
"Madiran";"2012";"15";"AOC-AOP"
"Madiran";"2013";"20";"AOC-AOP"
"Marcillac";"2010";"20";"AOC-AOP"
"Marcillac";"2011";"30";"AOC-AOP"
"Marcillac";"2012";"20";"AOC-AOP"
"Marcillac";"2013";"30";"AOC-AOP"
"Monbazillac";"2010";"20";"AOC-AOP"
"Monbazillac";"2011";"100";"AOC-AOP"
"Monbazillac";"2012";"20";"AOC-AOP"
"Monbazillac";"2013";"20";"AOC-AOP"
"Montravel";"2010";"30";"AOC-AOP"
"Montravel";"2011";"40";"AOC-AOP"
"Montravel";"2012";"20";"AOC-AOP"
"Montravel";"2013";"20";"AOC-AOP"
"Rosette";"2010";"20";"AOC-AOP"
"Rosette";"2011";"40";"AOC-AOP"
"Rosette";"2012";"15";"AOC-AOP"
"Rosette";"2013";"15";"AOC-AOP"
"Saussignac";"2013";"5";"AOC-AOP"
"Tursan";"2010";"20";"AOC-AOP"
"Tursan";"2011";"30";"AOC-AOP"
